opt_level,Num_Qubits,runtime,swap_gates
0,4,1.349455197652181,278.3333333333333
0,8,2.868688980738322,1683.0
0,12,4.23924994468689,3661.6666666666665
0,16,5.530629634857178,5992.333333333333
0,20,6.786808888117473,8728.333333333334
1,4,0.45616380373636883,22.333333333333332
1,8,1.2705341180165608,770.6666666666666
1,12,1.8056576251983643,1677.3333333333333
1,16,2.8289664586385093,2845.6666666666665
1,20,3.4583122730255127,4127.666666666667
2,4,1.16189972559611,19.333333333333332
2,8,3.2607255776723227,751.0
2,12,4.806045929590861,1560.0
2,16,7.253507614135742,2835.3333333333335
2,20,10.948554356892904,4155.0
3,4,2.030836502710978,10.0
3,8,5.90217645963033,605.0
3,12,8.900773604710897,1372.6666666666667
3,16,15.291515986124674,2489.0
3,20,20.02520815531413,3763.3333333333335
