5,50,2.228268862
5,150,5.492854595
5,250,10.21410982
5,350,16.72040796
5,450,18.70746954
5,550,25.55411212
5,650,29.30290683
5,750,35.19701234
5,850,35.33510804
5,950,41.904025
5,1050,44.01803462
15,50,8.228230953
15,150,25.3829999
15,250,42.37005877
15,350,61.67814946
15,450,93.07619953
15,550,98.8060894
15,650,117.1658635
15,750,148.5130148
15,850,177.9443741
15,950,153.5986056
15,1050,245.7113853
25,50,15.53498936
25,150,61.76825881
25,250,98.49770093
25,350,153.9777648
25,450,143.6748011
25,550,199.5592773
25,650,211.7375813
25,750,238.0649068
25,850,318.2150867
25,950,347.017134
25,1050,333.6985946
35,50,23.01056886
35,150,71.61647868
35,250,159.140893
35,350,199.6312144
35,450,256.6020064
35,550,268.1515832
35,650,550.2735772
35,750,369.4409828
35,850,556.1232803
35,950,738.7522764
35,1050,602.941889
45,50,31.29853034
45,150,135.0675273
45,250,197.2239039
45,350,279.3465226
45,450,365.7786386
45,550,718.1462564
45,650,517.9239194
45,750,727.2392063
45,850,826.7379236
45,950,663.4831493
45,1050,846.7226939
55,50,43.63632321
55,150,206.0185502
55,250,260.033515
55,350,403.2776272
55,450,462.8356893
55,550,579.5489194
55,650,685.1786273
55,750,793.6513247
55,850,903.5953617
55,950,1002.775246
55,1050,1265.170727
65,50,66.4352951
65,150,194.8277345
65,250,357.1090889
65,350,469.5116529
65,450,513.1658931
65,550,943.3400631
65,650,869.0167856
65,750,1136
65,850,1130
65,950,1655
65,1050,1433
