Filename,Execution_Time
4mod5-v0_20.qasm,0.002306222915649414
alu-v3_34.qasm,0.010346651077270508
4gt11_83.qasm,0.002130270004272461
4mod5-v0_19.qasm,0.0022923946380615234
alu-v1_28.qasm,0.0072612762451171875
4gt11_84.qasm,0.0023338794708251953
ex-1_166.qasm,0.0032439231872558594
alu-v3_35.qasm,0.007012844085693359
ex1_226.qasm,0.0019762516021728516
3_17_13.qasm,0.040163516998291016
alu-bdd_288.qasm,0.10677051544189453
qe_qft_4.qasm,0.003276824951171875
alu-v1_29.qasm,0.0063495635986328125
mod5mils_65.qasm,0.0032312870025634766
4mod5-v1_22.qasm,0.002664327621459961
decod24-v2_43.qasm,0.012467384338378906
ham3_102.qasm,0.004106998443603516
4mod5-v1_24.qasm,0.04828143119812012
rd32-v1_68.qasm,0.003075122833251953
alu-v4_37.qasm,0.009752511978149414
4mod5-bdd_287.qasm,0.04729771614074707
xor5_254.qasm,0.002360105514526367
4gt13-v1_93.qasm,0.058779001235961914
graycode6_47.qasm,0.0025224685668945312
rd32-v0_66.qasm,0.003187894821166992
alu-v0_27.qasm,0.0070192813873291016
decod24-v0_38.qasm,0.023406267166137695
4gt11_82.qasm,0.0033140182495117188
ising_model_10.qasm,0.004593849182128906
alu-v2_33.qasm,0.014998912811279297
4mod5-v1_23.qasm,0.06100797653198242
4gt5_75.qasm,0.10153484344482422
4gt13_92.qasm,0.11531615257263184
decod24-v1_41.qasm,0.07598876953125
miller_11.qasm,0.08553218841552734
4mod5-v0_18.qasm,0.03623604774475098
