Pass Name,Pass Type,Runtime (ms),Depth,Size,1q Gates,2q Gates,Width
ContainsInstruction,Analysis,0.02,501,7340,3200,3353,50
UnitarySynthesis,Transformation,9.82,501,7340,3200,3353,50
HighLevelSynthesis,Transformation,7.85,501,7340,3200,3353,50
Unroll3qOrMore,Transformation,587.61,4132,20052,11188,8864,50
RemoveResetInZeroState,Transformation,5.07,4132,20052,11188,8864,50
OptimizeSwapBeforeMeasure,Transformation,11.71,4132,20051,11188,8863,50
RemoveDiagonalGatesBeforeMeasure,Transformation,16.29,4132,20048,11186,8862,50
SetLayout,Analysis,0.01,4132,20048,11186,8862,50
BarrierBeforeFinalMeasurements,Transformation,45.52,4133,20049,11186,8862,50
NoiseAdaptiveLayout,Analysis,156.5,4133,20049,11186,8862,50
FullAncillaAllocation,Analysis,0.97,4133,20049,11186,8862,50
EnlargeWithAncilla,Transformation,1.84,4133,20049,11186,8862,152
ApplyLayout,Transformation,144.25,4133,20049,11186,8862,152
CheckMap,Analysis,4.33,4133,20049,11186,8862,152
BarrierBeforeFinalMeasurements,Transformation,190.3,4133,20049,11186,8862,152
SabreSwap,Transformation,865.56,10878,34834,11186,23647,152
UnitarySynthesis,Transformation,29.19,10878,34834,11186,23647,152
HighLevelSynthesis,Transformation,38.1,10878,34834,11186,23647,152
UnrollCustomDefinitions,Transformation,109.27,10878,34834,11186,23647,152
BasisTranslator,Transformation,3378.46,30655,112759,55701,57057,152
RemoveResetInZeroState,Transformation,33.15,30655,112759,55701,57057,152
Depth,Analysis,82.77,30655,112759,55701,57057,152
Size,Analysis,39.82,30655,112759,55701,57057,152
MinimumPoint,Transformation,0.02,30655,112759,55701,57057,152
Collect2qBlocks,Analysis,185.62,30655,112759,55701,57057,152
ConsolidateBlocks,Transformation,19680.62,25235,90328,38298,52029,152
UnitarySynthesis,Transformation,68271.85,29812,116703,62540,54162,152
Optimize1qGatesDecomposition,Transformation,2001.89,25224,98697,44534,54162,152
CommutationAnalysis,Analysis,5774.98,25224,98697,44534,54162,152
CommutativeCancellation,Transformation,811.25,24876,96970,42825,54144,152
GatesInBasis,Analysis,209.28,24876,96970,42825,54144,152
Depth,Analysis,66.0,24876,96970,42825,54144,152
Size,Analysis,30.11,24876,96970,42825,54144,152
MinimumPoint,Transformation,3292.93,24876,96970,42825,54144,152
Collect2qBlocks,Analysis,152.39,24876,96970,42825,54144,152
ConsolidateBlocks,Transformation,18185.17,24876,96953,42815,54137,152
UnitarySynthesis,Transformation,168.3,24876,96971,42832,54138,152
Optimize1qGatesDecomposition,Transformation,1212.86,24875,96956,42817,54138,152
CommutationAnalysis,Analysis,2975.79,24875,96956,42817,54138,152
CommutativeCancellation,Transformation,346.46,24875,96956,42817,54138,152
GatesInBasis,Analysis,221.23,24875,96956,42817,54138,152
Depth,Analysis,66.05,24875,96956,42817,54138,152
Size,Analysis,30.89,24875,96956,42817,54138,152
MinimumPoint,Transformation,3996.17,24875,96956,42817,54138,152
Collect2qBlocks,Analysis,184.58,24875,96956,42817,54138,152
ConsolidateBlocks,Transformation,18682.06,24875,96956,42817,54138,152
UnitarySynthesis,Transformation,83.96,24875,96956,42817,54138,152
Optimize1qGatesDecomposition,Transformation,1136.63,24875,96956,42817,54138,152
CommutationAnalysis,Analysis,2239.29,24875,96956,42817,54138,152
CommutativeCancellation,Transformation,307.49,24875,96956,42817,54138,152
GatesInBasis,Analysis,210.13,24875,96956,42817,54138,152
Depth,Analysis,64.88,24875,96956,42817,54138,152
Size,Analysis,30.45,24875,96956,42817,54138,152
MinimumPoint,Transformation,0.01,24875,96956,42817,54138,152
ContainsInstruction,Analysis,29.78,24875,96956,42817,54138,152
InstructionDurationCheck,Analysis,30.68,24875,96956,42817,54138,152
ValidatePulseGates,Analysis,0.01,24875,96956,42817,54138,152
