Pass Name,Pass Type,Runtime (ms),Depth,Size,1q Gates,2q Gates,Width
ContainsInstruction,Analysis,0.01,6,17,16,1,6
UnitarySynthesis,Transformation,0.01,6,17,16,1,6
HighLevelSynthesis,Transformation,0.01,6,17,16,1,6
UnrollCustomDefinitions,Transformation,0.08,6,17,16,1,6
BasisTranslator,Transformation,0.1,6,17,16,1,6
OptimizeSwapBeforeMeasure,Transformation,0.03,6,17,16,1,6
RemoveDiagonalGatesBeforeMeasure,Transformation,0.07,6,15,14,1,6
SetLayout,Analysis,0.01,6,15,14,1,6
DenseLayout,Analysis,109.52,6,15,14,1,6
FullAncillaAllocation,Analysis,1.81,6,15,14,1,6
EnlargeWithAncilla,Transformation,4.06,6,15,14,1,130
ApplyLayout,Transformation,5.71,6,15,14,1,130
CheckMap,Analysis,0.08,6,15,14,1,130
BarrierBeforeFinalMeasurements,Transformation,1.64,7,16,14,1,130
SabreSwap,Transformation,6.37,11,17,14,2,130
UnitarySynthesis,Transformation,0.01,11,17,14,2,130
HighLevelSynthesis,Transformation,0.01,11,17,14,2,130
UnrollCustomDefinitions,Transformation,0.28,11,17,14,2,130
BasisTranslator,Transformation,9.27,30,50,44,5,130
Depth,Analysis,0.12,30,50,44,5,130
Size,Analysis,0.04,30,50,44,5,130
MinimumPoint,Transformation,0.03,30,50,44,5,130
Collect2qBlocks,Analysis,0.29,30,50,44,5,130
ConsolidateBlocks,Transformation,3.16,18,23,18,4,130
UnitarySynthesis,Transformation,52.81,30,42,36,5,130
Optimize1qGatesDecomposition,Transformation,1.5,23,35,29,5,130
CommutationAnalysis,Analysis,6.91,23,35,29,5,130
CommutativeCancellation,Transformation,0.46,23,34,28,5,130
GatesInBasis,Analysis,0.1,23,34,28,5,130
Depth,Analysis,0.1,23,34,28,5,130
Size,Analysis,0.04,23,34,28,5,130
MinimumPoint,Transformation,4.77,23,34,28,5,130
Collect2qBlocks,Analysis,0.14,23,34,28,5,130
ConsolidateBlocks,Transformation,1.96,23,34,28,5,130
UnitarySynthesis,Transformation,0.01,23,34,28,5,130
Optimize1qGatesDecomposition,Transformation,1.32,23,34,28,5,130
CommutationAnalysis,Analysis,4.01,23,34,28,5,130
CommutativeCancellation,Transformation,0.39,23,34,28,5,130
GatesInBasis,Analysis,0.14,23,34,28,5,130
Depth,Analysis,0.1,23,34,28,5,130
Size,Analysis,0.04,23,34,28,5,130
MinimumPoint,Transformation,0.01,23,34,28,5,130
ContainsInstruction,Analysis,0.01,23,34,28,5,130
InstructionDurationCheck,Analysis,0.04,23,34,28,5,130
ValidatePulseGates,Analysis,0.01,23,34,28,5,130
