Pass Name,Pass Type,Runtime (ms),Depth,Size,1q Gates,2q Gates,Width
ContainsInstruction,Analysis,0.01,501,7358,3212,3369,50
UnitarySynthesis,Transformation,7.7,501,7358,3212,3369,50
HighLevelSynthesis,Transformation,7.44,501,7358,3212,3369,50
Unroll3qOrMore,Transformation,571.77,4012,19741,11031,8710,50
RemoveResetInZeroState,Transformation,5.15,4012,19741,11031,8710,50
OptimizeSwapBeforeMeasure,Transformation,9.7,4012,19741,11031,8710,50
RemoveDiagonalGatesBeforeMeasure,Transformation,10.41,4012,19739,11029,8710,50
SetLayout,Analysis,0.01,4012,19739,11029,8710,50
BarrierBeforeFinalMeasurements,Transformation,49.5,4013,19740,11029,8710,50
DenseLayout,Analysis,4.5,4013,19740,11029,8710,50
FullAncillaAllocation,Analysis,0.42,4013,19740,11029,8710,50
EnlargeWithAncilla,Transformation,0.65,4013,19740,11029,8710,152
ApplyLayout,Transformation,130.77,4013,19740,11029,8710,152
CheckMap,Analysis,3.78,4013,19740,11029,8710,152
BarrierBeforeFinalMeasurements,Transformation,178.62,4013,19740,11029,8710,152
SabreSwap,Transformation,729.65,11024,34702,11029,23672,152
UnitarySynthesis,Transformation,23.43,11024,34702,11029,23672,152
HighLevelSynthesis,Transformation,37.54,11024,34702,11029,23672,152
UnrollCustomDefinitions,Transformation,99.62,11024,34702,11029,23672,152
BasisTranslator,Transformation,3001.22,30454,112099,54770,57328,152
RemoveResetInZeroState,Transformation,30.17,30454,112099,54770,57328,152
Depth,Analysis,66.03,30454,112099,54770,57328,152
Size,Analysis,30.35,30454,112099,54770,57328,152
MinimumPoint,Transformation,0.02,30454,112099,54770,57328,152
Collect2qBlocks,Analysis,157.83,30454,112099,54770,57328,152
ConsolidateBlocks,Transformation,19096.31,25066,90285,37720,52564,152
UnitarySynthesis,Transformation,62125.69,29695,115567,61021,54545,152
Optimize1qGatesDecomposition,Transformation,1812.56,25321,98121,43575,54545,152
CommutationAnalysis,Analysis,5364.13,25321,98121,43575,54545,152
CommutativeCancellation,Transformation,538.12,24920,96285,41751,54533,152
GatesInBasis,Analysis,210.12,24920,96285,41751,54533,152
Depth,Analysis,69.0,24920,96285,41751,54533,152
Size,Analysis,30.53,24920,96285,41751,54533,152
MinimumPoint,Transformation,3617.17,24920,96285,41751,54533,152
Collect2qBlocks,Analysis,147.91,24920,96285,41751,54533,152
ConsolidateBlocks,Transformation,17664.21,24920,96230,41727,54502,152
UnitarySynthesis,Transformation,261.08,24920,96268,41766,54501,152
Optimize1qGatesDecomposition,Transformation,1126.17,24919,96252,41750,54501,152
CommutationAnalysis,Analysis,2971.34,24919,96252,41750,54501,152
CommutativeCancellation,Transformation,414.17,24919,96250,41748,54501,152
GatesInBasis,Analysis,259.78,24919,96250,41748,54501,152
Depth,Analysis,77.12,24919,96250,41748,54501,152
Size,Analysis,37.06,24919,96250,41748,54501,152
MinimumPoint,Transformation,4257.24,24919,96250,41748,54501,152
Collect2qBlocks,Analysis,179.25,24919,96250,41748,54501,152
ConsolidateBlocks,Transformation,20363.71,24919,96233,41733,54499,152
UnitarySynthesis,Transformation,134.89,24919,96251,41750,54500,152
Optimize1qGatesDecomposition,Transformation,1131.43,24919,96248,41747,54500,152
CommutationAnalysis,Analysis,2292.57,24919,96248,41747,54500,152
CommutativeCancellation,Transformation,311.46,24919,96246,41745,54500,152
GatesInBasis,Analysis,210.83,24919,96246,41745,54500,152
Depth,Analysis,64.91,24919,96246,41745,54500,152
Size,Analysis,30.34,24919,96246,41745,54500,152
MinimumPoint,Transformation,4392.43,24919,96246,41745,54500,152
Collect2qBlocks,Analysis,178.28,24919,96246,41745,54500,152
ConsolidateBlocks,Transformation,20654.6,24919,96246,41745,54500,152
UnitarySynthesis,Transformation,99.22,24919,96246,41745,54500,152
Optimize1qGatesDecomposition,Transformation,1300.64,24919,96246,41745,54500,152
CommutationAnalysis,Analysis,2429.39,24919,96246,41745,54500,152
CommutativeCancellation,Transformation,319.9,24919,96246,41745,54500,152
GatesInBasis,Analysis,213.86,24919,96246,41745,54500,152
Depth,Analysis,65.87,24919,96246,41745,54500,152
Size,Analysis,30.9,24919,96246,41745,54500,152
MinimumPoint,Transformation,0.01,24919,96246,41745,54500,152
ContainsInstruction,Analysis,30.22,24919,96246,41745,54500,152
InstructionDurationCheck,Analysis,30.17,24919,96246,41745,54500,152
ValidatePulseGates,Analysis,0.01,24919,96246,41745,54500,152
