Pass Name,Pass Type,Runtime (ms),Depth,Size,1q Gates,2q Gates,Width
ContainsInstruction,Analysis,0.01,501,14423,6054,6706,100
UnitarySynthesis,Transformation,12.52,501,14423,6054,6706,100
HighLevelSynthesis,Transformation,15.26,501,14423,6054,6706,100
Unroll3qOrMore,Transformation,1200.43,4731,41498,23091,18407,100
RemoveResetInZeroState,Transformation,11.0,4731,41498,23091,18407,100
OptimizeSwapBeforeMeasure,Transformation,24.66,4731,41497,23091,18406,100
RemoveDiagonalGatesBeforeMeasure,Transformation,20.87,4731,41491,23088,18403,100
SetLayout,Analysis,0.01,4731,41491,23088,18403,100
BarrierBeforeFinalMeasurements,Transformation,113.61,4732,41492,23088,18403,100
DenseLayout,Analysis,4.84,4732,41492,23088,18403,100
FullAncillaAllocation,Analysis,1.23,4732,41492,23088,18403,100
EnlargeWithAncilla,Transformation,1.37,4732,41492,23088,18403,177
ApplyLayout,Transformation,387.96,4732,41492,23088,18403,177
CheckMap,Analysis,8.36,4732,41492,23088,18403,177
BarrierBeforeFinalMeasurements,Transformation,388.3,4732,41492,23088,18403,177
SabreSwap,Transformation,2008.48,19957,88369,23088,65280,177
UnitarySynthesis,Transformation,56.25,19957,88369,23088,65280,177
HighLevelSynthesis,Transformation,86.82,19957,88369,23088,65280,177
UnrollCustomDefinitions,Transformation,248.76,19957,88369,23088,65280,177
BasisTranslator,Transformation,7104.67,55174,280449,113524,166924,177
RemoveResetInZeroState,Transformation,76.66,55174,280449,113524,166924,177
Depth,Analysis,179.42,55174,280449,113524,166924,177
Size,Analysis,76.85,55174,280449,113524,166924,177
MinimumPoint,Transformation,0.02,55174,280449,113524,166924,177
Collect2qBlocks,Analysis,392.12,55174,280449,113524,166924,177
ConsolidateBlocks,Transformation,52733.05,47616,238541,81612,156928,177
UnitarySynthesis,Transformation,138637.64,54496,290055,128947,161107,177
Optimize1qGatesDecomposition,Transformation,4555.74,47602,252873,91765,161107,177
CommutationAnalysis,Analysis,12827.74,47602,252873,91765,161107,177
CommutativeCancellation,Transformation,1367.21,46906,249329,88265,161063,177
GatesInBasis,Analysis,562.05,46906,249329,88265,161063,177
Depth,Analysis,181.04,46906,249329,88265,161063,177
Size,Analysis,77.29,46906,249329,88265,161063,177
MinimumPoint,Transformation,9816.58,46906,249329,88265,161063,177
Collect2qBlocks,Analysis,404.03,46906,249329,88265,161063,177
ConsolidateBlocks,Transformation,50010.56,46906,249288,88261,161026,177
UnitarySynthesis,Transformation,261.44,46906,249297,88271,161025,177
Optimize1qGatesDecomposition,Transformation,2667.17,46904,249283,88257,161025,177
CommutationAnalysis,Analysis,6933.4,46904,249283,88257,161025,177
CommutativeCancellation,Transformation,907.08,46904,249282,88256,161025,177
GatesInBasis,Analysis,576.32,46904,249282,88256,161025,177
Depth,Analysis,192.26,46904,249282,88256,161025,177
Size,Analysis,78.47,46904,249282,88256,161025,177
MinimumPoint,Transformation,9376.72,46904,249282,88256,161025,177
Collect2qBlocks,Analysis,405.26,46904,249282,88256,161025,177
ConsolidateBlocks,Transformation,52062.66,46904,249263,88246,161016,177
UnitarySynthesis,Transformation,312.72,46904,249282,88264,161017,177
Optimize1qGatesDecomposition,Transformation,2710.8,46904,249279,88261,161017,177
CommutationAnalysis,Analysis,6550.46,46904,249279,88261,161017,177
CommutativeCancellation,Transformation,1052.53,46904,249279,88261,161017,177
GatesInBasis,Analysis,573.25,46904,249279,88261,161017,177
Depth,Analysis,190.84,46904,249279,88261,161017,177
Size,Analysis,85.91,46904,249279,88261,161017,177
MinimumPoint,Transformation,8891.86,46904,249279,88261,161017,177
Collect2qBlocks,Analysis,400.2,46904,249279,88261,161017,177
ConsolidateBlocks,Transformation,50409.99,46904,249279,88261,161017,177
UnitarySynthesis,Transformation,221.91,46904,249279,88261,161017,177
Optimize1qGatesDecomposition,Transformation,3498.72,46904,249279,88261,161017,177
CommutationAnalysis,Analysis,6476.44,46904,249279,88261,161017,177
CommutativeCancellation,Transformation,903.97,46904,249279,88261,161017,177
GatesInBasis,Analysis,592.44,46904,249279,88261,161017,177
Depth,Analysis,181.68,46904,249279,88261,161017,177
Size,Analysis,100.36,46904,249279,88261,161017,177
MinimumPoint,Transformation,0.01,46904,249279,88261,161017,177
ContainsInstruction,Analysis,92.6,46904,249279,88261,161017,177
InstructionDurationCheck,Analysis,82.53,46904,249279,88261,161017,177
ValidatePulseGates,Analysis,0.01,46904,249279,88261,161017,177
