Pass Number,Pass Name,Pass Type,Runtime (ms),Depth,Size,1q Gates,2q Gates,Width
1,ContainsInstruction,Analysis,0.01,501,14369,5935,6731,100
2,UnitarySynthesis,Transformation,11.73,501,14369,5935,6731,100
3,HighLevelSynthesis,Transformation,14.61,501,14369,5935,6731,100
4,Unroll3qOrMore,Transformation,1195.64,4813,41639,23148,18491,100
5,RemoveResetInZeroState,Transformation,10.85,4813,41639,23148,18491,100
6,OptimizeSwapBeforeMeasure,Transformation,23.99,4813,41637,23148,18489,100
7,RemoveDiagonalGatesBeforeMeasure,Transformation,20.94,4813,41629,23142,18487,100
8,SetLayout,Analysis,0.01,4813,41629,23142,18487,100
9,VF2Layout,Analysis,86.17,4813,41629,23142,18487,100
10,BarrierBeforeFinalMeasurements,Transformation,97.21,4814,41630,23142,18487,100
11,SabreLayout,Transformation,66856.97,19739,88154,23142,65011,177
12,CheckMap,Analysis,112.59,19739,88154,23142,65011,177
13,VF2PostLayout,Analysis,199.11,19739,88154,23142,65011,177
14,UnitarySynthesis,Transformation,53.59,19739,88154,23142,65011,177
15,HighLevelSynthesis,Transformation,81.51,19739,88154,23142,65011,177
16,UnrollCustomDefinitions,Transformation,246.1,19739,88154,23142,65011,177
17,BasisTranslator,Transformation,6706.77,54575,277721,111936,165784,177
18,RemoveResetInZeroState,Transformation,82.04,54575,277721,111936,165784,177
19,Depth,Analysis,180.16,54575,277721,111936,165784,177
20,Size,Analysis,73.86,54575,277721,111936,165784,177
21,MinimumPoint,Transformation,0.01,54575,277721,111936,165784,177
22,Collect2qBlocks,Analysis,394.89,54575,277721,111936,165784,177
23,ConsolidateBlocks,Transformation,48035.54,46938,236075,80296,155778,177
24,UnitarySynthesis,Transformation,122054.45,53970,287729,127814,159914,177
25,Optimize1qGatesDecomposition,Transformation,3910.05,47206,251409,91494,159914,177
26,CommutationAnalysis,Analysis,11953.67,47206,251409,91494,159914,177
27,CommutativeCancellation,Transformation,1382.64,46560,247894,88021,159872,177
28,GatesInBasis,Analysis,555.96,46560,247894,88021,159872,177
29,Depth,Analysis,178.37,46560,247894,88021,159872,177
30,Size,Analysis,76.05,46560,247894,88021,159872,177
31,MinimumPoint,Transformation,8766.39,46560,247894,88021,159872,177
32,Collect2qBlocks,Analysis,585.35,46560,247894,88021,159872,177
33,ConsolidateBlocks,Transformation,47081.41,46560,247815,87977,159837,177
34,UnitarySynthesis,Transformation,586.98,46560,247913,88064,159848,177
35,Optimize1qGatesDecomposition,Transformation,2405.91,46559,247895,88046,159848,177
36,CommutationAnalysis,Analysis,7131.32,46559,247895,88046,159848,177
37,CommutativeCancellation,Transformation,883.52,46559,247892,88043,159848,177
38,GatesInBasis,Analysis,557.79,46559,247892,88043,159848,177
39,Depth,Analysis,185.96,46559,247892,88043,159848,177
40,Size,Analysis,78.87,46559,247892,88043,159848,177
41,MinimumPoint,Transformation,9996.6,46559,247892,88043,159848,177
42,Collect2qBlocks,Analysis,389.43,46559,247892,88043,159848,177
43,ConsolidateBlocks,Transformation,45934.83,46559,247886,88043,159842,177
44,UnitarySynthesis,Transformation,217.69,46559,247886,88043,159842,177
45,Optimize1qGatesDecomposition,Transformation,2483.17,46559,247886,88043,159842,177
46,CommutationAnalysis,Analysis,6794.8,46559,247886,88043,159842,177
47,CommutativeCancellation,Transformation,822.54,46559,247886,88043,159842,177
48,GatesInBasis,Analysis,550.47,46559,247886,88043,159842,177
49,Depth,Analysis,173.52,46559,247886,88043,159842,177
50,Size,Analysis,75.76,46559,247886,88043,159842,177
51,MinimumPoint,Transformation,9533.81,46559,247886,88043,159842,177
52,Collect2qBlocks,Analysis,1310.52,46559,247886,88043,159842,177
53,ConsolidateBlocks,Transformation,45986.91,46559,247886,88043,159842,177
54,UnitarySynthesis,Transformation,214.81,46559,247886,88043,159842,177
55,Optimize1qGatesDecomposition,Transformation,2449.47,46559,247886,88043,159842,177
56,CommutationAnalysis,Analysis,5982.57,46559,247886,88043,159842,177
57,CommutativeCancellation,Transformation,849.87,46559,247886,88043,159842,177
58,GatesInBasis,Analysis,549.95,46559,247886,88043,159842,177
59,Depth,Analysis,183.83,46559,247886,88043,159842,177
60,Size,Analysis,82.17,46559,247886,88043,159842,177
61,MinimumPoint,Transformation,0.01,46559,247886,88043,159842,177
62,ContainsInstruction,Analysis,80.16,46559,247886,88043,159842,177
63,InstructionDurationCheck,Analysis,84.45,46559,247886,88043,159842,177
64,ValidatePulseGates,Analysis,3.13,46559,247886,88043,159842,177
