Pass Number,Pass Name,Pass Type,Runtime (ms),Depth,Size,1q Gates,2q Gates,Width
35,Optimize1qGatesDecomposition,Transformation,10865.78,123166,946112,228721,717390,252
36,CommutationAnalysis,Analysis,43683.03,123166,946112,228721,717390,252
37,CommutativeCancellation,Transformation,6252.05,123166,946112,228721,717390,252
38,GatesInBasis,Analysis,2158.51,123166,946112,228721,717390,252
39,Depth,Analysis,711.04,123166,946112,228721,717390,252
40,Size,Analysis,272.92,123166,946112,228721,717390,252
41,MinimumPoint,Transformation,30105.88,123166,946112,228721,717390,252
42,Collect2qBlocks,Analysis,1426.49,123166,946112,228721,717390,252
43,ConsolidateBlocks,Transformation,190008.06,123166,946053,228704,717348,252
44,UnitarySynthesis,Transformation,906.95,123166,946077,228730,717346,252
45,Optimize1qGatesDecomposition,Transformation,11031.79,123166,946077,228730,717346,252
46,CommutationAnalysis,Analysis,30965.85,123166,946077,228730,717346,252
47,CommutativeCancellation,Transformation,3446.71,123166,946077,228730,717346,252
48,GatesInBasis,Analysis,2179.97,123166,946077,228730,717346,252
49,Depth,Analysis,721.14,123166,946077,228730,717346,252
50,Size,Analysis,277.61,123166,946077,228730,717346,252
51,MinimumPoint,Transformation,33811.68,123166,946077,228730,717346,252
52,Collect2qBlocks,Analysis,1459.41,123166,946077,228730,717346,252
53,ConsolidateBlocks,Transformation,188212.54,123166,946057,228727,717329,252
54,UnitarySynthesis,Transformation,805.84,123166,946059,228730,717328,252
55,Optimize1qGatesDecomposition,Transformation,8660.82,123166,946059,228730,717328,252
56,CommutationAnalysis,Analysis,30027.47,123166,946059,228730,717328,252
57,CommutativeCancellation,Transformation,6441.82,123166,946059,228730,717328,252
58,GatesInBasis,Analysis,2137.79,123166,946059,228730,717328,252
59,Depth,Analysis,697.38,123166,946059,228730,717328,252
60,Size,Analysis,278.57,123166,946059,228730,717328,252
61,MinimumPoint,Transformation,30320.02,123166,946059,228730,717328,252
62,Collect2qBlocks,Analysis,1443.81,123166,946059,228730,717328,252
63,ConsolidateBlocks,Transformation,188824.46,123166,946051,228727,717323,252
64,UnitarySynthesis,Transformation,814.45,123166,946053,228730,717322,252
65,Optimize1qGatesDecomposition,Transformation,6611.85,123166,946053,228730,717322,252
66,CommutationAnalysis,Analysis,29154.0,123166,946053,228730,717322,252
67,CommutativeCancellation,Transformation,3438.99,123166,946053,228730,717322,252
68,GatesInBasis,Analysis,2149.28,123166,946053,228730,717322,252
69,Depth,Analysis,717.57,123166,946053,228730,717322,252
70,Size,Analysis,279.71,123166,946053,228730,717322,252
71,MinimumPoint,Transformation,33183.06,123166,946053,228730,717322,252
72,Collect2qBlocks,Analysis,1442.27,123166,946053,228730,717322,252
73,ConsolidateBlocks,Transformation,188303.79,123166,946053,228730,717322,252
74,UnitarySynthesis,Transformation,795.37,123166,946053,228730,717322,252
75,Optimize1qGatesDecomposition,Transformation,6663.93,123166,946053,228730,717322,252
76,CommutationAnalysis,Analysis,26065.46,123166,946053,228730,717322,252
77,CommutativeCancellation,Transformation,3466.33,123166,946053,228730,717322,252
78,GatesInBasis,Analysis,2142.69,123166,946053,228730,717322,252
79,Depth,Analysis,690.37,123166,946053,228730,717322,252
80,Size,Analysis,275.04,123166,946053,228730,717322,252
81,MinimumPoint,Transformation,0.15,123166,946053,228730,717322,252
82,ContainsInstruction,Analysis,275.29,123166,946053,228730,717322,252
83,InstructionDurationCheck,Analysis,276.62,123166,946053,228730,717322,252
84,ValidatePulseGates,Analysis,0.01,123166,946053,228730,717322,252
