Pass Number,Pass Name,Pass Type,Runtime (ms),Depth,Size,1q Gates,2q Gates,Width
1,ContainsInstruction,Analysis,0.01,501,35853,14771,16848,250
2,UnitarySynthesis,Transformation,24.54,501,35853,14771,16848,250
3,HighLevelSynthesis,Transformation,37.73,501,35853,14771,16848,250
4,Unroll3qOrMore,Transformation,3133.44,5199,104572,57951,46621,250
5,RemoveResetInZeroState,Transformation,27.93,5199,104572,57951,46621,250
6,OptimizeSwapBeforeMeasure,Transformation,56.49,5199,104572,57951,46621,250
7,RemoveDiagonalGatesBeforeMeasure,Transformation,55.61,5199,104559,57940,46619,250
8,SetLayout,Analysis,0.01,5199,104559,57940,46619,250
9,VF2Layout,Analysis,245.02,5199,104559,57940,46619,250
10,BarrierBeforeFinalMeasurements,Transformation,381.67,5200,104560,57940,46619,250
11,SabreLayout,Transformation,365541.5,48003,326785,57940,268844,252
12,CheckMap,Analysis,448.75,48003,326785,57940,268844,252
13,VF2PostLayout,Analysis,630.55,48003,326785,57940,268844,252
14,UnitarySynthesis,Transformation,175.76,48003,326785,57940,268844,252
15,HighLevelSynthesis,Transformation,292.08,48003,326785,57940,268844,252
16,UnrollCustomDefinitions,Transformation,896.32,48003,326785,57940,268844,252
17,BasisTranslator,Transformation,22275.81,137730,1016739,283565,733173,252
18,RemoveResetInZeroState,Transformation,267.21,137730,1016739,283565,733173,252
19,Depth,Analysis,709.42,137730,1016739,283565,733173,252
20,Size,Analysis,260.69,137730,1016739,283565,733173,252
21,MinimumPoint,Transformation,0.01,137730,1016739,283565,733173,252
22,Collect2qBlocks,Analysis,1454.44,137730,1016739,283565,733173,252
23,ConsolidateBlocks,Transformation,192351.33,122963,912778,205931,706846,252
24,UnitarySynthesis,Transformation,356640.97,136634,1046576,328955,717620,252
25,Optimize1qGatesDecomposition,Transformation,14601.61,124275,954950,237329,717620,252
26,CommutationAnalysis,Analysis,55938.48,124275,954950,237329,717620,252
27,CommutativeCancellation,Transformation,6339.56,123176,946281,228730,717550,252
28,GatesInBasis,Analysis,2149.7,123176,946281,228730,717550,252
29,Depth,Analysis,708.4,123176,946281,228730,717550,252
30,Size,Analysis,268.96,123176,946281,228730,717550,252
31,MinimumPoint,Transformation,32496.73,123176,946281,228730,717550,252
32,Collect2qBlocks,Analysis,1437.02,123176,946281,228730,717550,252
33,ConsolidateBlocks,Transformation,186674.43,123174,946076,228685,717390,252
34,UnitarySynthesis,Transformation,1220.89,123174,946155,228764,717390,252
