Pass Number,Pass Name,Pass Type,Runtime (ms),Depth,Size,1q Gates,2q Gates,Width
1,ContainsInstruction,Analysis,0.01,501,28701,11836,13472,200
2,UnitarySynthesis,Transformation,20.03,501,28701,11836,13472,200
3,HighLevelSynthesis,Transformation,29.52,501,28701,11836,13472,200
4,Unroll3qOrMore,Transformation,2550.03,5096,83487,46365,37122,200
5,RemoveResetInZeroState,Transformation,21.82,5096,83487,46365,37122,200
6,OptimizeSwapBeforeMeasure,Transformation,44.69,5096,83487,46365,37122,200
7,RemoveDiagonalGatesBeforeMeasure,Transformation,43.41,5096,83478,46358,37120,200
8,SetLayout,Analysis,0.01,5096,83478,46358,37120,200
9,VF2Layout,Analysis,191.08,5096,83478,46358,37120,200
10,BarrierBeforeFinalMeasurements,Transformation,279.13,5097,83479,46358,37120,200
11,SabreLayout,Transformation,227841.78,37228,230815,46358,184456,227
12,CheckMap,Analysis,316.45,37228,230815,46358,184456,227
13,VF2PostLayout,Analysis,455.66,37228,230815,46358,184456,227
14,UnitarySynthesis,Transformation,128.55,37228,230815,46358,184456,227
15,HighLevelSynthesis,Transformation,210.58,37228,230815,46358,184456,227
16,UnrollCustomDefinitions,Transformation,636.54,37228,230815,46358,184456,227
17,BasisTranslator,Transformation,16360.18,105606,720022,225246,494775,227
18,RemoveResetInZeroState,Transformation,189.88,105606,720022,225246,494775,227
19,Depth,Analysis,467.25,105606,720022,225246,494775,227
20,Size,Analysis,188.0,105606,720022,225246,494775,227
21,MinimumPoint,Transformation,0.02,105606,720022,225246,494775,227
22,Collect2qBlocks,Analysis,1012.42,105606,720022,225246,494775,227
23,ConsolidateBlocks,Transformation,132729.2,93330,639136,164441,474694,227
24,UnitarySynthesis,Transformation,251734.1,104789,742882,259885,482996,227
25,Optimize1qGatesDecomposition,Transformation,7997.18,94493,669899,186902,482996,227
26,CommutationAnalysis,Analysis,29918.7,94493,669899,186902,482996,227
27,CommutativeCancellation,Transformation,4551.2,93530,662871,179936,482934,227
28,GatesInBasis,Analysis,1490.32,93530,662871,179936,482934,227
29,Depth,Analysis,466.01,93530,662871,179936,482934,227
30,Size,Analysis,193.99,93530,662871,179936,482934,227
31,MinimumPoint,Transformation,22732.22,93530,662871,179936,482934,227
32,Collect2qBlocks,Analysis,993.51,93530,662871,179936,482934,227
33,ConsolidateBlocks,Transformation,130024.22,93509,662754,179896,482857,227
34,UnitarySynthesis,Transformation,790.69,93511,662803,179950,482852,227
35,Optimize1qGatesDecomposition,Transformation,5133.42,93503,662765,179912,482852,227
36,CommutationAnalysis,Analysis,18663.21,93503,662765,179912,482852,227
37,CommutativeCancellation,Transformation,4292.61,93502,662759,179910,482848,227
38,GatesInBasis,Analysis,1489.18,93502,662759,179910,482848,227
39,Depth,Analysis,471.35,93502,662759,179910,482848,227
40,Size,Analysis,193.97,93502,662759,179910,482848,227
41,MinimumPoint,Transformation,25968.67,93502,662759,179910,482848,227
42,Collect2qBlocks,Analysis,1003.96,93502,662759,179910,482848,227
43,ConsolidateBlocks,Transformation,130553.36,93502,662735,179907,482827,227
44,UnitarySynthesis,Transformation,568.16,93502,662737,179910,482826,227
45,Optimize1qGatesDecomposition,Transformation,6689.61,93502,662737,179910,482826,227
46,CommutationAnalysis,Analysis,16274.15,93502,662737,179910,482826,227
47,CommutativeCancellation,Transformation,2380.75,93502,662737,179910,482826,227
48,GatesInBasis,Analysis,1493.83,93502,662737,179910,482826,227
49,Depth,Analysis,472.07,93502,662737,179910,482826,227
50,Size,Analysis,195.06,93502,662737,179910,482826,227
51,MinimumPoint,Transformation,21413.57,93502,662737,179910,482826,227
52,Collect2qBlocks,Analysis,1001.08,93502,662737,179910,482826,227
53,ConsolidateBlocks,Transformation,129945.24,93502,662731,179910,482820,227
54,UnitarySynthesis,Transformation,557.44,93502,662731,179910,482820,227
55,Optimize1qGatesDecomposition,Transformation,5159.18,93502,662731,179910,482820,227
56,CommutationAnalysis,Analysis,16508.78,93502,662731,179910,482820,227
57,CommutativeCancellation,Transformation,4459.41,93502,662731,179910,482820,227
58,GatesInBasis,Analysis,1494.53,93502,662731,179910,482820,227
59,Depth,Analysis,472.34,93502,662731,179910,482820,227
60,Size,Analysis,196.78,93502,662731,179910,482820,227
61,MinimumPoint,Transformation,21309.98,93502,662731,179910,482820,227
62,Collect2qBlocks,Analysis,3031.96,93502,662731,179910,482820,227
63,ConsolidateBlocks,Transformation,130965.01,93502,662725,179910,482814,227
64,UnitarySynthesis,Transformation,555.28,93502,662725,179910,482814,227
65,Optimize1qGatesDecomposition,Transformation,5174.37,93502,662725,179910,482814,227
66,CommutationAnalysis,Analysis,18237.38,93502,662725,179910,482814,227
67,CommutativeCancellation,Transformation,2364.44,93502,662725,179910,482814,227
68,GatesInBasis,Analysis,1487.45,93502,662725,179910,482814,227
69,Depth,Analysis,465.6,93502,662725,179910,482814,227
70,Size,Analysis,195.55,93502,662725,179910,482814,227
71,MinimumPoint,Transformation,23700.52,93502,662725,179910,482814,227
72,Collect2qBlocks,Analysis,1008.96,93502,662725,179910,482814,227
73,ConsolidateBlocks,Transformation,130728.79,93502,662725,179910,482814,227
74,UnitarySynthesis,Transformation,555.24,93502,662725,179910,482814,227
75,Optimize1qGatesDecomposition,Transformation,5166.19,93502,662725,179910,482814,227
76,CommutationAnalysis,Analysis,16358.17,93502,662725,179910,482814,227
77,CommutativeCancellation,Transformation,2413.07,93502,662725,179910,482814,227
