name,Circuit_Size,execution_time_dense,execution_time_sabre,execution_time_noise_adaptive,execution_time_trivial,execution_time_toqm,execution_time_qmap-heuristic
rd53_251.qasm,1291,0.8625516891479492,1.0915400981903076,0.7278721332550049,0.9762959480285645,1.2760319709777832,0.023333311080932617
square_root_7.qasm,7630,8.500371932983398,10.587692499160768,8.513381481170654,8.018979549407959,7.166697025299072,0.14647579193115234
dc2_222.qasm,9462,5.942806243896484,9.422227621078491,6.256406784057617,6.462591409683228,10.088624000549316,0.20718073844909668
cycle10_2_110.qasm,6050,3.7510735988616943,5.872744798660278,3.798176288604736,4.075618505477905,8.450901985168457,0.14465546607971191
urf1_278.qasm,54766,53.477988719940186,73.87794280052185,51.00295639038086,52.63421320915222,69.31001281738281,1.1231238842010498
cm82a_208.qasm,650,0.368767499923706,0.5100314617156982,0.3514785766601562,0.4666666984558105,0.493877649307251,0.025070667266845703
cm85a_209.qasm,11414,7.097480535507202,11.113558530807495,7.368057250976562,6.98672890663147,13.406511068344116,0.23565196990966797
urf1_149.qasm,184864,122.98288226127625,189.97474908828733,123.323561668396,120.47098803520204,206.57405948638916,3.7017955780029297
sqn_258.qasm,10223,6.185538768768311,9.872155904769896,6.274316787719727,6.514187097549439,10.969093322753906,0.2174205780029297
mlp4_245.qasm,18852,13.993580341339111,19.315367221832275,12.638535499572754,12.707692861557009,24.06199026107788,0.3123311996459961
ham15_107.qasm,8763,5.402392387390137,8.624024629592896,5.62720251083374,6.218656301498413,10.186696529388428,0.20057272911071777
hwb8_113.qasm,69380,83.85209798812866,70.93047428131104,47.09557008743286,46.84349250793457,71.61192107200623,1.495391845703125
rd84_253.qasm,13658,9.00250244140625,13.953474283218384,8.922655820846558,9.369132995605469,14.24516248703003,0.2394866943359375
urf2_277.qasm,20112,26.707417249679565,35.01563262939453,13.718302011489868,27.35512137413025,26.349148511886597,0.441774845123291
root_255.qasm,17159,11.242243766784668,17.072202920913696,10.697304248809814,11.86713433265686,20.197001695632935,0.40744686126708984
sqrt8_260.qasm,3009,1.9428598880767824,2.9363481998443604,1.8442487716674805,1.9999573230743408,3.5957016944885254,0.060903310775756836
rd73_252.qasm,5321,3.3142342567443848,5.041528940200806,3.2823421955108643,3.501290798187256,5.666356325149536,0.0937955379486084
life_238.qasm,22445,14.53478217124939,22.72172975540161,14.318620681762695,15.20392656326294,27.09970760345459,0.48046207427978516
cm42a_207.qasm,1776,1.0341997146606443,1.3871843814849854,1.0824449062347412,1.063215970993042,1.709505319595337,0.08119392395019531
qft_10.qasm,200,0.2144818305969238,0.217616319656372,0.1660926342010498,0.2160151004791259,0.16837525367736816,0.007905960083007812
pm1_249.qasm,1776,1.002821445465088,1.4101896286010742,1.0889241695404053,1.0656626224517822,1.6766464710235596,0.03636288642883301
9symml_195.qasm,34881,22.979047775268555,35.11810636520386,22.949403762817383,24.02065920829773,38.442054271698,0.8364648818969727
z4_268.qasm,3073,1.8627991676330569,2.999826669692993,1.9838621616363523,2.202002763748169,3.4577107429504395,0.06037759780883789
dist_223.qasm,38046,25.938210487365723,37.81956481933594,25.002020120620728,26.786402702331543,49.19909954071045,0.8746511936187744
inc_237.qasm,10619,6.463748931884766,10.111179113388062,6.120344877243042,6.939657211303711,12.53542423248291,0.19900012016296387
adr4_197.qasm,3439,2.2529101371765137,3.247612237930298,2.295074224472046,2.1912777423858643,3.707113742828369,0.06360578536987305
