name,Circuit_Size,execution_time_dense,execution_time_sabre,execution_time_noise_adaptive,execution_time_trivial,execution_time_satmap,execution_time_tb-olsq2,execution_time_toqm,execution_time_qmap_heuristic
4mod5-v0_20.qasm,20,0.0467627048492431,0.0291218757629394,0.0501799583435058,0.342228889465332,3.82820463180542,3.63386607170105,0.002306222915649414,0.0047528743743896484
alu-v3_34.qasm,52,0.0725586414337158,0.0602149963378906,0.0623488426208496,0.0442366600036621,10.640971422195435,4.157226324081421,0.010346651077270508,0.0036559104919433594
4gt11_83.qasm,23,0.0359723567962646,0.0375583171844482,0.0474560260772705,0.0402746200561523,4.901213645935059,3.165951728820801,0.002130270004272461,0.003028392791748047
4mod5-v0_19.qasm,35,0.0699715614318847,0.0436549186706543,0.0414302349090576,0.0565979480743408,5.492969274520874,3.1357359886169434,0.0022923946380615234,0.002760648727416992
alu-v1_28.qasm,37,0.0422790050506591,0.0481927394866943,0.0564641952514648,0.045485496520996,6.574304819107056,3.943751335144043,0.0072612762451171875,0.0028138160705566406
4gt11_84.qasm,18,0.0399911403656005,0.0424330234527587,0.0287616252899169,0.042428970336914,2.635587692260742,2.705535650253296,0.0023338794708251953,0.0027201175689697266
ex-1_166.qasm,19,0.0606446266174316,0.0335481166839599,0.0334854125976562,0.0441563129425048,2.210322618484497,2.7044219970703125,0.0032439231872558594,0.0031833648681640625
alu-v3_35.qasm,37,0.0745208263397216,0.0446531772613525,0.0485026836395263,0.0598790645599365,7.591738224029541,3.7768423557281494,0.007012844085693359,0.002721548080444336
ex1_226.qasm,7,0.0426595211029052,0.0255680084228515,0.0253632068634033,0.0240256786346435,2.180452346801758,2.680821657180786,0.0019762516021728516,0.0027005672454833984
3_17_13.qasm,36,0.0389657020568847,0.0461585521697998,0.0366346836090087,0.0730373859405517,3.8487389087677,2.9855422973632812,0.040163516998291016,0.0029449462890625
alu-bdd_288.qasm,84,0.0857908725738525,0.0774371623992919,0.0765016078948974,0.0806126594543457,24.843265295028687,12.364333868026733,0.10677051544189453,0.003512144088745117
qe_qft_4.qasm,71,0.0473482608795166,0.0495402812957763,0.0731823444366455,0.0578169822692871,9.865746259689331,3.021176815032959,0.003276824951171875,0.0032651424407958984
